conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff1c55da-2436-4b6c-a978-a0255e12d39b,skill/competence,occupation-specific,mit zahnmedizinischen Notfällen umgehen,,,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Umgang mit zahnmedizinischen Notfällen verschiedenster Art, z. B. Entzündungen, bakterielle Erkrankungen, Pilz- und Viruserkrankungen sowie frakturierte Zähne, wobei für jeden Einzelfall die betreffende Behandlungsmethode vorzunehmen ist."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff1f5150-82c6-4c52-81ca-770b61b81794,skill/competence,occupation-specific,höchste Verantwortungsstufe in der Binnenschifffahrt übernehmen,,,released,2024-02-12T10:15:47.831Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Verständnis der Verantwortlichkeiten, die die Position des Schiffsführers mit sich bringt. Übernahme der Verantwortung für die Unversehrtheit der Schiffsbesatzung, der Ladung und der Fahrgäste; Sicherstellen des ordnungsgemäßen Ablaufs von Tätigkeiten. 
 "
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff207c62-ccd0-4788-b99a-996a14320fad,skill/competence,sector-specific,Zeitmanagement in der Lebensmittelverarbeitung steuern,Zeitmanagement in der Nahrungsmittelverarbeitung steuern,,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Gewährleistung einer korrekten Verwaltung von Zeit und Ressourcen unter Verwendung geeigneter Planungsmethoden.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff24c97f-dbb9-4b02-bf03-4cbe8aecb371,knowledge,sector-specific,Finanzhilfeprogramme für Schüler/Schülerinnen und Studierende,,,released,2016-12-20T18:29:35Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Verschiedene finanzielle Unterstützungsleistungen, die Studierenden von der Regierung, privaten Einrichtungen oder der besuchten Schule angeboten werden, wie Steuervergünstigungen, Darlehen oder Zuschüsse."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff258a7e-b2ba-414a-9878-2380ecf89de0,skill/competence,cross-sector,Ahnentafeln interpretieren,,,released,2023-08-07T15:27:51.929Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Erstellung und Interpretation von Diagrammen, die das Auftreten eines bestimmten Gens und der genetischen Vorfahren von einer Generation zur nächsten zeigen."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff25cbf0-6978-4c4c-887e-d4b185410d74,skill/competence,sector-specific,Software-Wiederherstellungstests durchführen,"Software-Absturz- und Wiederherstellungstests durchführen
Softwarewiederherstellungstests durchführen
Softwarewiederherstellungstest durchführen
Software-Wiederherstellungstests ausführen
Software-Recovery-Tests durchführen
Software-Wiederherstellungsverhalten testen",,released,2024-02-09T17:29:10.678Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036,
http://data.europa.eu/esco/concept-scheme/skills","Durchführung von Tests mithilfe spezieller Softwarewerkzeuge, um den Ausfall von Software auf unterschiedliche Weise zu erzwingen und zu prüfen, wie die Software sich nach einem Absturz oder Ausfall schneller und besser wiederherstellen kann."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff27618d-43d0-4480-83ee-8b1a672da078,knowledge,cross-sector,Astronomie,,,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Wissenschaftsgebiet, das die Physik, Chemie und die Entwicklung von Himmelsobjekten wie Sternen, Kometen und Monden untersucht. Darüber hinaus werden Phänomene untersucht, die außerhalb der Erdatmosphäre auftreten, wie z. B. Sonnenstürme, kosmische Hintergrundstrahlung und Gammablitze."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff340526-6bf6-4cd0-bcb1-87f1d6265bda,skill/competence,cross-sector,Instrumente für die Bewertung von Lebensmitteln nutzen,,,released,2024-02-09T17:29:09.851Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Einsatz verschiedener Geräte und Instrumente zur Bewertung und Untersuchung von Lebensmittelprodukten wie Thermometer, Röntgengeräte, Mikroskope usw."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff481bb5-9838-4d9b-9117-0b3f1502f69d,skill/competence,occupation-specific,Kugelmühle beschicken,,,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Ferngesteuerte Beschickung der Kugelmühle, um die Pulverisierung getrockneter Zutaten durchzuführen."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff52e69a-8873-4827-b140-958dee5a62bb,skill/competence,transversal,gesprochenes Norwegisch verstehen,,,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/skill-language-groups,
http://data.europa.eu/esco/concept-scheme/member-skills",Verstehen der norwegischen Sprache in gesprochener Form.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff584c6e-520c-4187-ba90-1c9634bcc0ba,skill/competence,sector-specific,ein Filament schneiden,,,released,2024-02-09T17:29:12.952Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Nach Wicklung des Filamentwerkstücks das Filament schneiden, um das Werkstück freizugeben."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff599c4c-f7bc-44fc-b75f-eea4b7178692,knowledge,sector-specific,Normen des Managementsystems,,,released,2024-01-29T11:24:15.71Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Normen, die die Leistung einer Organisation verbessern, indem sie Tätigkeiten beschreiben, die dazu beitragen, Ziele zu erreichen. Sie tragen auch dazu bei, eine Unternehmenskultur zu schaffen, die die Grundlage für eine kontinuierliche Selbstbewertung und Verbesserung der Geschäftsabläufe bildet.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff5e9b54-d141-4f5a-ad04-ddefd7d8843f,skill/competence,occupation-specific,Genehmigung des Zeitnachweises einholen,,,released,2024-02-09T17:29:11.47Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Einholen der Genehmigung des Zeitnachweises von Mitarbeitern vom zuständigen Vorgesetzten oder Leiter.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff64e9fc-36dd-4035-872a-83aa41dc1ad9,skill/competence,cross-sector,wissenschaftliche Erkenntnisse vermitteln,"das Verständnis der Öffentlichkeit für wissenschaftliche Erkenntnisse fördern
die Öffentlichkeit für die Forschung sensibilisieren
öffentlich über wissenschaftliche Erkenntnisse kommunizieren
Vermittlung wissenschaftlicher Ergebnisse an die Öffentlichkeit",,released,2021-04-09T07:47:30.899Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/research","Teilen neuer Erkenntnisse und Begeisterung für die Wissenschaft mit der breiten Öffentlichkeit, Verbesserung der Kenntnisse, der Wertschätzung und des Verständnisses der Wissenschaft in der Öffentlichkeit, Förderung der Verwendung wissenschaftlicher Ergebnisse bei der Meinungsbildung.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff662ffe-d8c8-420e-9931-4acc311261fd,skill/competence,occupation-specific,Natriumkarbonat zubereiten,,,released,2024-02-09T17:29:09.009Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills",Herstellen der Natriumkarbonatlösung gemäß der vorgegebenen Formel.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff6904ef-36e7-4890-8fb1-8353b299f047,knowledge,occupation-specific,Mikrochip-Scanner,Mikrochip-Lesegeräte,,released,2024-02-09T17:29:15.235Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Verschiedene verfügbare Arten von Scannern, ihre Einschränkungen sowie ihre Einrichtung, Verwendung und Wartung; die mit dem Einsatz eines Scanners verbundenen Umweltbelastungen, einschließlich der Frage, welche externen Faktoren das Auslesen eines Mikrochips beeinflussen können, darunter Metalleinfassungen, Nähe zu Computerbildschirmen usw."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/ff6df6fd-f725-4b5a-a47d-54337fbc763f,knowledge,cross-sector,Bünde,,,released,2024-02-09T17:29:12.215Z,,,"http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skills","Prozess zur Befestigung mehrerer Objekte, z. B. von Stangen, unter Verwendung von Seilen, Draht oder Gurten, häufig zum Absichern einer festen Konstruktion wie einem selbstgebauten Tisch, einem Baumhaus oder einer Toilette. Verzurrungsarten sind Quadratzurrungen, Rundzurrungen und Diagonalzurrungen."
